emp_no,first_name,last_name,birth_date,from_date,to_date,title
10476,Kokou,Iisaka,1965-01-01,1987-09-20,9999-01-01,Senior Staff
21546,Yongmin,Lanteri,1965-01-01,2002-03-19,9999-01-01,Senior Staff
22926,Manibrata,Genther,1965-01-01,1988-01-15,9999-01-01,Engineer
31341,Oksana,Zultner,1965-01-01,1991-03-23,9999-01-01,Senior Staff
35793,Oscar,Kusalik,1965-01-01,1991-05-11,9999-01-01,Senior Staff
36844,Hailing,Levergood,1965-01-01,2000-01-12,9999-01-01,Staff
39341,Mahmut,Lampe,1965-01-01,1985-05-11,9999-01-01,Engineer
40765,Michaela,Ramsak,1965-01-01,1992-12-21,9999-01-01,Senior Staff
54198,Shaowen,Segond,1965-01-01,1986-01-06,9999-01-01,Engineer
61377,Dannz,Ohori,1965-01-01,1997-04-13,9999-01-01,Senior Staff
62245,Adel,Bressoud,1965-01-01,1995-08-30,9999-01-01,Engineer
71685,Kristinn,Olano,1965-01-01,1989-10-03,9999-01-01,Senior Engineer
74668,Masako,Bonifati,1965-01-01,1987-04-09,9999-01-01,Senior Staff
86655,Zhenhua,Lorys,1965-01-01,1995-08-21,9999-01-01,Engineer
90084,Renny,Bale,1965-01-01,1989-11-22,9999-01-01,Engineer
91229,Yahiko,Hebden,1965-01-01,1996-10-03,9999-01-01,Engineer
94416,Aran,Cesareni,1965-01-01,2001-11-20,9999-01-01,Senior Staff
105342,Kwun,Reeker,1965-01-01,1999-07-29,9999-01-01,Technique Leader
105520,Haldun,Lienhardt,1965-01-01,1987-01-29,9999-01-01,Senior Staff
201709,Fan,Kakkad,1965-01-01,1988-02-25,9999-01-01,Senior Staff
233818,Kellie,Heydon,1965-01-01,1985-11-11,9999-01-01,Engineer
239415,Susumu,Brender,1965-01-01,1993-04-17,9999-01-01,Engineer
251403,Utpal,DuBourdieux,1965-01-01,1997-11-19,9999-01-01,Technique Leader
251814,Mitsuyuki,Zockler,1965-01-01,1998-09-14,9999-01-01,Technique Leader
252185,Chaosheng,Conta,1965-01-01,1997-04-14,9999-01-01,Assistant Engineer
252392,Sanjeeva,Peron,1965-01-01,1993-12-26,9999-01-01,Engineer
256216,Halsur,Brodal,1965-01-01,1997-11-22,9999-01-01,Engineer
257484,Shaowei,Nicolson,1965-01-01,1986-12-07,9999-01-01,Senior Staff
262928,Piyush,Gill,1965-01-01,1995-02-20,9999-01-01,Engineer
273806,Hongzhu,Beetstra,1965-01-01,1997-08-18,9999-01-01,Senior Staff
274071,Mingsen,Weiland,1965-01-01,1995-10-12,9999-01-01,Staff
276563,Gift,Solares,1965-01-01,1995-08-01,9999-01-01,Senior Staff
286986,Woody,Trelles,1965-01-01,1996-05-23,9999-01-01,Senior Engineer
287482,Shigeaki,Gihr,1965-01-01,1994-03-18,9999-01-01,Engineer
295030,Fun,Keirsey,1965-01-01,1985-07-09,9999-01-01,Senior Staff
408019,Shridhar,Chleq,1965-01-01,1986-03-22,9999-01-01,Assistant Engineer
423993,Seshu,Kolvik,1965-01-01,1988-12-09,9999-01-01,Technique Leader
438038,Lena,Giaccio,1965-01-01,2001-10-03,9999-01-01,Senior Staff
440870,Filipp,Hasham,1965-01-01,1996-10-14,9999-01-01,Senior Staff
445226,Oscar,Baumann,1965-01-01,1987-01-22,9999-01-01,Engineer
454994,Mohan,Picht,1965-01-01,1991-02-24,9999-01-01,Engineer
455914,Peer,Angelopoulos,1965-01-01,1989-07-23,9999-01-01,Engineer
465853,Kwan,Kampfer,1965-01-01,1998-10-16,9999-01-01,Staff
473268,Hugo,Sgarro,1965-01-01,1992-04-24,9999-01-01,Senior Staff
477350,Terresa,Vigier,1965-01-01,1998-07-08,9999-01-01,Staff
480407,Deniz,Bennis,1965-01-01,1989-06-24,9999-01-01,Engineer
485489,Keiichiro,Armand,1965-01-01,1986-12-14,9999-01-01,Assistant Engineer
486956,Matt,Ruemmler,1965-01-01,1993-10-14,9999-01-01,Engineer
489756,Kersti,Miculan,1965-01-01,1992-06-09,9999-01-01,Senior Staff
490551,Lalit,Lindqvist,1965-01-01,1998-11-07,9999-01-01,Engineer
490568,Zita,Reistad,1965-01-01,1998-07-23,9999-01-01,Senior Engineer
491632,Gadiel,Perly,1965-01-01,1986-10-20,9999-01-01,Senior Staff
